slug,name_ja,name_ko_or_en,area_slug,prefecture,property_type,initial_tier,initial_bath_signals,source_basis,verification_status,source_files
yubara-kikunoyu,湯原温泉 湯原国際観光ホテル菊之湯,Kikunoyu,yubara,岡山県,ryokan hotel,Tier 2,스나유 접근성과 대욕장 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
yubara-aburaya,湯原温泉 八景,Hakkei,yubara,岡山県,ryokan,Tier 1,강변 노천과 스나유 접근성 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
yubara-yubaranoyado-komeya,湯原温泉 湯原の宿 米屋,Komeya,yubara,岡山県,ryokan,Tier 2,전통 료칸과 온천가 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
yuda-matsudaya,湯田温泉 松田屋ホテル,Matsudaya Hotel,yuda,山口県,historic ryokan,Tier 1,정원 노천탕과 역사 료칸 후보,regional high-value source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
yuda-kamefuku,湯田温泉 ユウベルホテル松政,Yubell Hotel Matsumasa,yuda,山口県,ryokan hotel,Tier 1,대욕장과 도심 온천 접근성 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
yuda-nishinomiyabi-tokiwa,湯田温泉 西の雅 常盤,Nishi no Miyabi Tokiwa,yuda,山口県,ryokan hotel,Tier 2,대형 온천호텔과 쇼 요소 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
ureshino-wataya-besso,嬉野温泉 和多屋別荘,Wataya Besso,ureshino,佐賀県,large ryokan,Tier 1,미인탕과 대형 료칸 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
ureshino-oyado-nonoka,嬉野温泉 大正屋,Taishoya,ureshino,佐賀県,ryokan,Tier 1,우레시노 대표 료칸과 대욕장 후보,regional high-demand source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
ureshino-shiibasanso,嬉野温泉 椎葉山荘,Shiibasanso,ureshino,佐賀県,ryokan,Tier 1,계곡 노천탕과 조용한 체류 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
ureshino-hamilton,嬉野温泉 ハミルトン宇礼志野,Hamilton Ureshino,ureshino,佐賀県,hotel ryokan,Tier 2,양관형 온천호텔과 미인탕 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
takeo-koyokaku,武雄温泉 懐石宿 扇屋,Kaiseki Yado Ogiya,takeo,佐賀県,luxury ryokan,Tier 1,요리 료칸과 온천 체류 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
takeo-mifuneyama-rakuen,御船山楽園ホテル,Mifuneyama Rakuen Hotel,takeo,佐賀県,hotel ryokan,Tier 1,사우나와 온천 리조트 수요 후보,regional high-demand source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
takeo-kyotoya,武雄温泉 京都屋,Kyotoya,takeo,佐賀県,ryokan,Tier 2,레트로 료칸과 대욕장 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
ginzan-fujiya,銀山温泉 藤屋,Fujiya,ginzan,山形県,luxury ryokan,Tier 1,건축성 높은 온천료칸과 객실탕 후보,regional high-demand source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
ginzan-notoya,銀山温泉 能登屋旅館,Notoya Ryokan,ginzan,山形県,historic ryokan,Tier 1,상징적 목조 료칸과 온천가 후보,regional high-demand source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
ginzan-kosekiya,銀山温泉 古勢起屋別館,Kosekiya Bekkan,ginzan,山形県,ryokan,Tier 1,온천가 중심 전통 료칸 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
zao-miyagiya,蔵王温泉 深山荘高見屋,Miyamaso Takamiya,zao-yamagata,山形県,ryokan,Tier 1,강산성 유황천과 전통 료칸 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
zao-lucent,蔵王温泉 蔵王国際ホテル,Zao Kokusai Hotel,zao-yamagata,山形県,ryokan hotel,Tier 1,백탁 유황 대욕장과 스키 수요 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
zao-wakamatsuya,蔵王温泉 堺屋森のホテルヴァルトベルク,Wald Berg,zao-yamagata,山形県,ryokan hotel,Tier 2,고지대 유황천과 노천탕 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
kaminoyama-koyo,かみのやま温泉 日本の宿 古窯,Koyo,kaminoyama,山形県,large ryokan,Tier 1,대형 고급 료칸과 전망 대욕장 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
kaminoyama-meigetsuso,かみのやま温泉 名月荘,Meigetsuso,kaminoyama,山形県,luxury ryokan,Tier 1,고급 객실 노천탕 후보,regional high-end source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
sukayu-onsen,酸ヶ湯温泉旅館,Sukayu Onsen Ryokan,sukayu,青森県,historic ryokan,Tier 1,히바센닌부로와 강산성 온천 후보,regional high-demand source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
asamushi-kaisenkaku,浅虫温泉 南部屋・海扇閣,Kaisenkaku,asamushi,青森県,ryokan hotel,Tier 1,무쓰만 전망 대욕장 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
asamushi-tatsumikan,浅虫温泉 椿館,Tsubakikan,asamushi,青森県,ryokan,Tier 2,전통 료칸과 대욕장 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
hanamaki-yusen-shidate,志戸平温泉 游泉志だて,Yusen Shidate,hanamaki,岩手県,luxury ryokan,Tier 1,전실 노천탕과 계류 온천 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
hanamaki-kashoen,花巻温泉 佳松園,Kashoen,hanamaki,岩手県,luxury ryokan,Tier 1,고급 료칸과 대욕장 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
hanamaki-osawa-onsen,大沢温泉 山水閣,Osawa Onsen Sansuikaku,hanamaki,岩手県,ryokan,Tier 1,자취부 병설 탕치와 강변 노천 후보,regional high-demand source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
tsunagi-shikitei,つなぎ温泉 四季亭,Shikitei,tsunagi,岩手県,ryokan,Tier 1,모리오카 접근성과 전통 료칸 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
higashiyama-mukaitaki,会津東山温泉 向瀧,Mukaitaki,higashiyama,福島県,historic ryokan,Tier 1,문화재급 목조 료칸과 원천탕 후보,regional high-value source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
higashiyama-shosuke,会津東山温泉 庄助の宿 瀧の湯,Takinoyu,higashiyama,福島県,ryokan,Tier 1,폭포 전망 노천탕과 대욕장 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
iizaka-yoshikawaya,飯坂温泉 摺上亭大鳥,Surikamitei Ohtori,iizaka,福島県,ryokan hotel,Tier 1,대형 대욕장과 후쿠시마 접근성 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
iizaka-horikiri,飯坂温泉 祭屋湯左衛門,Matsuriya Yuzaemon,iizaka,福島県,ryokan,Tier 2,지역 온천가와 대욕장 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
